id,source,url,title,organization,salary_from,salary_to,salary_currency,salary_raw,published_at,published_raw,region,experience,employment_type,description,extra_info,is_archive,archive_timestamp,scraped_at
47,profiminer.ru,https://profiminer.ru/vacancy/4848/,Энергетик ЗИФ,confidential,260000.0,260000.0,RUB,,2025-07-16T14:30:15+03:00,2025-07-16T14:30:15+03:00,Билибино,,,"Содержание электроустановок ЗИФ в работоспособном состоянии Учет, анализ и расследование нарушений в работе электроустановок Подбор электротехнического персонала, обучение и проверка знаний электротехнического и электротехнологического персонала Разработка должностных, производственных инструкций и инструкций по охране труда для электротехнического персонала Учет и рациональное расходование электрической энергии Выполнение предписаний органов энергетического надзора Организация, разработка и ведение документации Организация безопасного проведения всех видов работ в электроустановках Контроль, наличие и своевременность проверок и испытаний средств защиты и пожаротушения Организация оперативного обслуживания электроустановок Проверка соответствия схем электроснабжения Составление ежегодных заявок на запасные части и материалы Ведение табельного учета рабочего времени",,0,,2026-09-08T16:05:36.669168
48,profiminer.ru,https://profiminer.ru/vacancy/4847/,Диспетчер энергосистемы (энергодиспетчер) ДГУ,confidential,195000.0,195000.0,RUB,,2025-07-16T14:27:37+03:00,2025-07-16T14:27:37+03:00,Билибино,,,"Контролировать состояние и правильную эксплуатацию измерительных и испытательных приборов; Руководить работой системы энергоснабжения, управлять оперативно-ремонтным персоналом; Поддерживать напряжение и частоту в сети в пределах нормы, разгружать потребителей энергии, следить за выполнением графиков нагрузки и режимов передачи мощностей, контролировать потребление электроэнергии и других ресурсов, участвовать в ликвидации аварий и нарушений, вести оперативную документацию; Давать распоряжения о включении и выключении оборудования, переключении схем, руководить производством переключений на электрооборудовании; Обеспечивать безопасное выполнение работ персоналом; Организовывать обучение и проверку знаний персонала; Вести техническую документацию энергокомплекса; Контролировать соблюдение правил охраны труда, техники безопасности, производственной дисциплины и внутреннего трудового распорядка; Анализировать результаты работы, правильно и своевременно оформлять документы по учету рабочего времени; Составлять заявки на запасные части, материалы и оборудование для бесперебойной работы.",,0,,2026-09-08T16:05:40.564640
49,profiminer.ru,https://profiminer.ru/vacancy/4846/,Инженер-геолог,confidential,,190000.0,RUB,,2025-07-16T14:13:36+03:00,2025-07-16T14:13:36+03:00,Билибино,,,"Создание и актуализация каркасных и литологических моделей месторождения, Обновление геологических моделей по результатам бурения новых эксплуатационных и поисковых скважин и фактической добычи, Обработка и ведение баз данных месторождения, Обработка маркшейдерских материалов с целью пополнения каркасов горных выработок и топоповерхности",,0,,2026-09-08T16:05:46.044626
50,profiminer.ru,https://profiminer.ru/vacancy/4845/,Старший ресурсный геолог,confidential,,,RUB,,2025-07-16T14:10:43+03:00,2025-07-16T14:10:43+03:00,Билибино,,,"Создание и пополнение баз данных месторождения, контроль за правильностью внесения новых данных. Обработка и интерпретация геологических данных. Пополнение моделей минеральных ресурсов и контроль содержаний всех разрабатываемых, планируемых и перспективных к разработке участков организации. Создание каркасных и блочных моделей месторождения. Подготовка материалов и данных к годовому отчёту, долгосрочному и среднесрочному планированию, а также оценка минеральных ресурсов.",,0,,2026-09-08T16:05:49.448432
51,profiminer.ru,https://profiminer.ru/vacancy/4844/,Горнорабочий (геологические работы),confidential,,,RUB,,2025-07-16T14:07:48+03:00,2025-07-16T14:07:48+03:00,Билибино,,,"Отбор и доставка бороздовых проб, перестановка керновых ящиков, подготовка геологических мешков для проб, изготовления жетонов Подготовка геологических мешков и изготовление жетонов Поиск дубликатов проб для контроля в контейнере геологических проб Сопутствующие работы на территории керноскалда",,0,,2026-09-08T16:05:52.761276
52,profiminer.ru,https://profiminer.ru/vacancy/4843/,Инженер-геолог (моделирование),confidential,,,RUB,,2025-07-16T14:04:59+03:00,2025-07-16T14:04:59+03:00,Билибино,,,Создание и актуализация каркасных и литологических моделей месторождения Обновление геологических моделей по результатам бурения новых эксплуатационных и поисковых скважин и фактической добычи Обработка и ведение баз данных месторождения Обработка маркшейдерских материалов с целью пополнения каркасов горных выработок и топоповерхности,,0,,2026-09-08T16:05:58.304515
53,profiminer.ru,https://profiminer.ru/vacancy/4842/,Участковый геолог ЭРР (подземные работы),confidential,,226201.0,RUB,,2025-07-16T13:55:22+03:00,2025-07-16T13:55:22+03:00,Билибино,,,"Контроль за соблюдением стандартов, инструментов и методик при геологическом сопровождении добычных работ на объектах компании. Составление программ ЭРР, анализ обоснованности объёмов выполнения ЭРР и контроль выполнения программ на объектах компании",,0,,2026-09-08T16:06:03.003878
54,profiminer.ru,https://profiminer.ru/vacancy/4841/,Участковый геолог ГРР (подземные работы),confidential,,208800.0,RUB,,2025-07-16T13:52:09+03:00,2025-07-16T13:52:09+03:00,Билибино,,,Отбор и документация шламовых проб ведение первичной документации,,0,,2026-09-08T16:06:06.818856
55,profiminer.ru,https://profiminer.ru/vacancy/4839/,Главный геолог,confidential,,,RUB,,2025-07-16T13:44:30+03:00,2025-07-16T13:44:30+03:00,Билибино,,,"Осуществлять руководство геологической службой АО ""Рудник Каральвеем"" Выполнение требований охраны недр и других нормативных и законодательных актов РФ Контроль соблюдения условий действующих лицензионных соглашения Проведение детального комплексного изучения эксплуатируемых месторождений Определение наиболее рациональных направлений геологоразведочных и эксплуатационных работ Контроль состояние МСБ Разработка перспектив развития геологических работ в регионе и на предприятии Постановка геологических задач Организация геологических исследований Внедрение современных методик опробования и геологического оборудования Организация труда",,0,,2026-09-08T16:06:11.508080
56,profiminer.ru,https://profiminer.ru/vacancy/4838/,Водитель УАЗ,confidential,115000.0,,RUB,,2025-07-16T13:41:46+03:00,2025-07-16T13:41:46+03:00,Билибино,,,Перевозка персонала предприятия,,0,,2026-09-08T16:06:13.255077
